trace_id,decision_offset_ms,target_offset_ms,horizon_ms,demand_time_rps,demand_time_oracle_replicas,future_target_rps,decision_time_oracle_replicas,terminal_extension
stable-noisy-control-v1,0,6000,6000,23.000000,1,25.000000,1,false
stable-noisy-control-v1,1000,7000,6000,24.000000,1,24.000000,1,false
stable-noisy-control-v1,2000,8000,6000,25.000000,1,23.000000,1,false
stable-noisy-control-v1,3000,9000,6000,26.000000,1,24.000000,1,false
stable-noisy-control-v1,4000,10000,6000,27.000000,1,25.000000,1,false
stable-noisy-control-v1,5000,11000,6000,26.000000,1,26.000000,1,false
stable-noisy-control-v1,6000,12000,6000,25.000000,1,27.000000,1,false
stable-noisy-control-v1,7000,13000,6000,24.000000,1,26.000000,1,false
stable-noisy-control-v1,8000,14000,6000,23.000000,1,25.000000,1,false
stable-noisy-control-v1,9000,15000,6000,24.000000,1,24.000000,1,false
stable-noisy-control-v1,10000,16000,6000,25.000000,1,23.000000,1,false
stable-noisy-control-v1,11000,17000,6000,26.000000,1,24.000000,1,false
stable-noisy-control-v1,12000,18000,6000,27.000000,1,25.000000,1,false
stable-noisy-control-v1,13000,19000,6000,26.000000,1,26.000000,1,false
stable-noisy-control-v1,14000,20000,6000,25.000000,1,27.000000,1,false
stable-noisy-control-v1,15000,21000,6000,24.000000,1,26.000000,1,false
stable-noisy-control-v1,16000,22000,6000,23.000000,1,25.000000,1,false
stable-noisy-control-v1,17000,23000,6000,24.000000,1,24.000000,1,false
stable-noisy-control-v1,18000,24000,6000,25.000000,1,23.000000,1,false
stable-noisy-control-v1,19000,25000,6000,26.000000,1,24.000000,1,false
stable-noisy-control-v1,20000,26000,6000,27.000000,1,25.000000,1,false
stable-noisy-control-v1,21000,27000,6000,26.000000,1,26.000000,1,false
stable-noisy-control-v1,22000,28000,6000,25.000000,1,27.000000,1,false
stable-noisy-control-v1,23000,29000,6000,24.000000,1,26.000000,1,false
stable-noisy-control-v1,24000,30000,6000,23.000000,1,25.000000,1,false
stable-noisy-control-v1,25000,31000,6000,24.000000,1,24.000000,1,false
stable-noisy-control-v1,26000,32000,6000,25.000000,1,23.000000,1,false
stable-noisy-control-v1,27000,33000,6000,26.000000,1,24.000000,1,false
stable-noisy-control-v1,28000,34000,6000,27.000000,1,25.000000,1,false
stable-noisy-control-v1,29000,35000,6000,26.000000,1,26.000000,1,false
stable-noisy-control-v1,30000,36000,6000,25.000000,1,27.000000,1,false
stable-noisy-control-v1,31000,37000,6000,24.000000,1,26.000000,1,false
stable-noisy-control-v1,32000,38000,6000,23.000000,1,25.000000,1,false
stable-noisy-control-v1,33000,39000,6000,24.000000,1,24.000000,1,false
stable-noisy-control-v1,34000,40000,6000,25.000000,1,23.000000,1,false
stable-noisy-control-v1,35000,41000,6000,26.000000,1,24.000000,1,false
stable-noisy-control-v1,36000,42000,6000,27.000000,1,25.000000,1,false
stable-noisy-control-v1,37000,43000,6000,26.000000,1,26.000000,1,false
stable-noisy-control-v1,38000,44000,6000,25.000000,1,27.000000,1,false
stable-noisy-control-v1,39000,45000,6000,24.000000,1,26.000000,1,false
stable-noisy-control-v1,40000,46000,6000,23.000000,1,25.000000,1,false
stable-noisy-control-v1,41000,47000,6000,24.000000,1,24.000000,1,false
stable-noisy-control-v1,42000,48000,6000,25.000000,1,23.000000,1,false
stable-noisy-control-v1,43000,49000,6000,26.000000,1,24.000000,1,false
stable-noisy-control-v1,44000,50000,6000,27.000000,1,25.000000,1,false
stable-noisy-control-v1,45000,51000,6000,26.000000,1,26.000000,1,false
stable-noisy-control-v1,46000,52000,6000,25.000000,1,27.000000,1,false
stable-noisy-control-v1,47000,53000,6000,24.000000,1,26.000000,1,false
stable-noisy-control-v1,48000,54000,6000,23.000000,1,25.000000,1,false
stable-noisy-control-v1,49000,55000,6000,24.000000,1,24.000000,1,false
stable-noisy-control-v1,50000,56000,6000,25.000000,1,23.000000,1,false
stable-noisy-control-v1,51000,57000,6000,26.000000,1,24.000000,1,false
stable-noisy-control-v1,52000,58000,6000,27.000000,1,25.000000,1,false
stable-noisy-control-v1,53000,59000,6000,26.000000,1,26.000000,1,false
stable-noisy-control-v1,54000,60000,6000,25.000000,1,27.000000,1,false
stable-noisy-control-v1,55000,61000,6000,24.000000,1,26.000000,1,false
stable-noisy-control-v1,56000,62000,6000,23.000000,1,25.000000,1,false
stable-noisy-control-v1,57000,63000,6000,24.000000,1,24.000000,1,false
stable-noisy-control-v1,58000,64000,6000,25.000000,1,23.000000,1,false
stable-noisy-control-v1,59000,65000,6000,26.000000,1,24.000000,1,false
stable-noisy-control-v1,60000,66000,6000,27.000000,1,25.000000,1,false
stable-noisy-control-v1,61000,67000,6000,26.000000,1,26.000000,1,false
stable-noisy-control-v1,62000,68000,6000,25.000000,1,27.000000,1,false
stable-noisy-control-v1,63000,69000,6000,24.000000,1,26.000000,1,false
stable-noisy-control-v1,64000,70000,6000,23.000000,1,25.000000,1,false
stable-noisy-control-v1,65000,71000,6000,24.000000,1,24.000000,1,false
stable-noisy-control-v1,66000,72000,6000,25.000000,1,23.000000,1,false
stable-noisy-control-v1,67000,73000,6000,26.000000,1,24.000000,1,false
stable-noisy-control-v1,68000,74000,6000,27.000000,1,25.000000,1,false
stable-noisy-control-v1,69000,75000,6000,26.000000,1,26.000000,1,false
stable-noisy-control-v1,70000,76000,6000,25.000000,1,27.000000,1,false
stable-noisy-control-v1,71000,77000,6000,24.000000,1,26.000000,1,false
stable-noisy-control-v1,72000,78000,6000,23.000000,1,25.000000,1,false
stable-noisy-control-v1,73000,79000,6000,24.000000,1,24.000000,1,false
