trace_id,decision_offset_ms,target_offset_ms,horizon_ms,demand_time_rps,demand_time_oracle_replicas,future_target_rps,decision_time_oracle_replicas,terminal_extension
gradual-ramp-v1,0,6000,6000,25.000000,1,25.000000,1,false
gradual-ramp-v1,1000,7000,6000,25.000000,1,25.000000,1,false
gradual-ramp-v1,2000,8000,6000,25.000000,1,25.000000,1,false
gradual-ramp-v1,3000,9000,6000,25.000000,1,25.000000,1,false
gradual-ramp-v1,4000,10000,6000,25.000000,1,25.000000,1,false
gradual-ramp-v1,5000,11000,6000,25.000000,1,25.000000,1,false
gradual-ramp-v1,6000,12000,6000,25.000000,1,25.000000,1,false
gradual-ramp-v1,7000,13000,6000,25.000000,1,25.000000,1,false
gradual-ramp-v1,8000,14000,6000,25.000000,1,25.000000,1,false
gradual-ramp-v1,9000,15000,6000,25.000000,1,25.000000,1,false
gradual-ramp-v1,10000,16000,6000,25.000000,1,25.000000,1,false
gradual-ramp-v1,11000,17000,6000,25.000000,1,25.000000,1,false
gradual-ramp-v1,12000,18000,6000,25.000000,1,25.000000,1,false
gradual-ramp-v1,13000,19000,6000,25.000000,1,25.000000,1,false
gradual-ramp-v1,14000,20000,6000,25.000000,1,25.000000,1,false
gradual-ramp-v1,15000,21000,6000,25.000000,1,25.000000,1,false
gradual-ramp-v1,16000,22000,6000,25.000000,1,25.000000,1,false
gradual-ramp-v1,17000,23000,6000,25.000000,1,25.000000,1,false
gradual-ramp-v1,18000,24000,6000,25.000000,1,25.000000,1,false
gradual-ramp-v1,19000,25000,6000,25.000000,1,25.000000,1,false
gradual-ramp-v1,20000,26000,6000,25.000000,1,25.000000,1,false
gradual-ramp-v1,21000,27000,6000,25.000000,1,25.000000,1,false
gradual-ramp-v1,22000,28000,6000,25.000000,1,25.000000,1,false
gradual-ramp-v1,23000,29000,6000,25.000000,1,25.000000,1,false
gradual-ramp-v1,24000,30000,6000,25.000000,1,25.000000,1,false
gradual-ramp-v1,25000,31000,6000,25.000000,1,25.000000,1,false
gradual-ramp-v1,26000,32000,6000,25.000000,1,25.000000,1,false
gradual-ramp-v1,27000,33000,6000,25.000000,1,25.000000,1,false
gradual-ramp-v1,28000,34000,6000,25.000000,1,25.000000,1,false
gradual-ramp-v1,29000,35000,6000,25.000000,1,25.000000,1,false
gradual-ramp-v1,30000,36000,6000,25.000000,1,25.000000,1,false
gradual-ramp-v1,31000,37000,6000,25.000000,1,25.000000,1,false
gradual-ramp-v1,32000,38000,6000,25.000000,1,25.000000,1,false
gradual-ramp-v1,33000,39000,6000,25.000000,1,25.000000,1,false
gradual-ramp-v1,34000,40000,6000,25.000000,1,25.000000,1,false
gradual-ramp-v1,35000,41000,6000,25.000000,1,25.000000,1,false
gradual-ramp-v1,36000,42000,6000,25.000000,1,25.000000,1,false
gradual-ramp-v1,37000,43000,6000,25.000000,1,25.000000,1,false
gradual-ramp-v1,38000,44000,6000,25.000000,1,25.000000,1,false
gradual-ramp-v1,39000,45000,6000,25.000000,1,25.000000,1,false
gradual-ramp-v1,40000,46000,6000,25.000000,1,25.000000,1,false
gradual-ramp-v1,41000,47000,6000,25.000000,1,25.000000,1,false
gradual-ramp-v1,42000,48000,6000,25.000000,1,25.000000,1,false
gradual-ramp-v1,43000,49000,6000,25.000000,1,25.000000,1,false
gradual-ramp-v1,44000,50000,6000,25.000000,1,25.000000,1,false
gradual-ramp-v1,45000,51000,6000,25.000000,1,25.000000,1,false
gradual-ramp-v1,46000,52000,6000,25.000000,1,25.000000,1,false
gradual-ramp-v1,47000,53000,6000,25.000000,1,25.000000,1,false
gradual-ramp-v1,48000,54000,6000,25.000000,1,25.000000,1,false
gradual-ramp-v1,49000,55000,6000,25.000000,1,25.000000,1,false
gradual-ramp-v1,50000,56000,6000,25.000000,1,25.000000,1,false
gradual-ramp-v1,51000,57000,6000,25.000000,1,25.000000,1,false
gradual-ramp-v1,52000,58000,6000,25.000000,1,25.000000,1,false
gradual-ramp-v1,53000,59000,6000,25.000000,1,25.000000,1,false
gradual-ramp-v1,54000,60000,6000,25.000000,1,25.194444,1,false
gradual-ramp-v1,55000,61000,6000,25.000000,1,25.388889,1,false
