trace_id,condition,issued_offset_ms,target_offset_ms,horizon_ms,predicted_rps,mutation_id,pair_manifest_id
gradual-ramp-v1,slope_reduction,0,6000,6000,25.000000,gradual-ramp-v1__slope-reduction__0.60,step11-candidate-catalog-v1.0.0
gradual-ramp-v1,slope_reduction,1000,7000,6000,25.000000,gradual-ramp-v1__slope-reduction__0.60,step11-candidate-catalog-v1.0.0
gradual-ramp-v1,slope_reduction,2000,8000,6000,25.000000,gradual-ramp-v1__slope-reduction__0.60,step11-candidate-catalog-v1.0.0
gradual-ramp-v1,slope_reduction,3000,9000,6000,25.000000,gradual-ramp-v1__slope-reduction__0.60,step11-candidate-catalog-v1.0.0
gradual-ramp-v1,slope_reduction,4000,10000,6000,25.000000,gradual-ramp-v1__slope-reduction__0.60,step11-candidate-catalog-v1.0.0
gradual-ramp-v1,slope_reduction,5000,11000,6000,25.000000,gradual-ramp-v1__slope-reduction__0.60,step11-candidate-catalog-v1.0.0
gradual-ramp-v1,slope_reduction,6000,12000,6000,25.000000,gradual-ramp-v1__slope-reduction__0.60,step11-candidate-catalog-v1.0.0
gradual-ramp-v1,slope_reduction,7000,13000,6000,25.000000,gradual-ramp-v1__slope-reduction__0.60,step11-candidate-catalog-v1.0.0
gradual-ramp-v1,slope_reduction,8000,14000,6000,25.000000,gradual-ramp-v1__slope-reduction__0.60,step11-candidate-catalog-v1.0.0
gradual-ramp-v1,slope_reduction,9000,15000,6000,25.000000,gradual-ramp-v1__slope-reduction__0.60,step11-candidate-catalog-v1.0.0
gradual-ramp-v1,slope_reduction,10000,16000,6000,25.000000,gradual-ramp-v1__slope-reduction__0.60,step11-candidate-catalog-v1.0.0
gradual-ramp-v1,slope_reduction,11000,17000,6000,25.000000,gradual-ramp-v1__slope-reduction__0.60,step11-candidate-catalog-v1.0.0
gradual-ramp-v1,slope_reduction,12000,18000,6000,25.000000,gradual-ramp-v1__slope-reduction__0.60,step11-candidate-catalog-v1.0.0
gradual-ramp-v1,slope_reduction,13000,19000,6000,25.000000,gradual-ramp-v1__slope-reduction__0.60,step11-candidate-catalog-v1.0.0
gradual-ramp-v1,slope_reduction,14000,20000,6000,25.000000,gradual-ramp-v1__slope-reduction__0.60,step11-candidate-catalog-v1.0.0
gradual-ramp-v1,slope_reduction,15000,21000,6000,25.000000,gradual-ramp-v1__slope-reduction__0.60,step11-candidate-catalog-v1.0.0
gradual-ramp-v1,slope_reduction,16000,22000,6000,25.000000,gradual-ramp-v1__slope-reduction__0.60,step11-candidate-catalog-v1.0.0
gradual-ramp-v1,slope_reduction,17000,23000,6000,25.000000,gradual-ramp-v1__slope-reduction__0.60,step11-candidate-catalog-v1.0.0
gradual-ramp-v1,slope_reduction,18000,24000,6000,25.000000,gradual-ramp-v1__slope-reduction__0.60,step11-candidate-catalog-v1.0.0
gradual-ramp-v1,slope_reduction,19000,25000,6000,25.000000,gradual-ramp-v1__slope-reduction__0.60,step11-candidate-catalog-v1.0.0
gradual-ramp-v1,slope_reduction,20000,26000,6000,25.000000,gradual-ramp-v1__slope-reduction__0.60,step11-candidate-catalog-v1.0.0
gradual-ramp-v1,slope_reduction,21000,27000,6000,25.000000,gradual-ramp-v1__slope-reduction__0.60,step11-candidate-catalog-v1.0.0
