trace_id,suite_version,offset_ms,target_rps,interpolation,phase,event_label,oracle_replicas
sustained-peak-v1,1.0.0,0,25.000000,step,warmup,stable_start,1
sustained-peak-v1,1.0.0,1000,25.000000,step,warmup,,1
sustained-peak-v1,1.0.0,2000,25.000000,step,warmup,,1
sustained-peak-v1,1.0.0,3000,25.000000,step,warmup,,1
sustained-peak-v1,1.0.0,4000,25.000000,step,warmup,,1
sustained-peak-v1,1.0.0,5000,25.000000,step,warmup,,1
sustained-peak-v1,1.0.0,6000,25.000000,step,warmup,,1
sustained-peak-v1,1.0.0,7000,25.000000,step,warmup,,1
sustained-peak-v1,1.0.0,8000,25.000000,step,warmup,,1
sustained-peak-v1,1.0.0,9000,25.000000,step,warmup,,1
sustained-peak-v1,1.0.0,10000,25.000000,step,warmup,,1
sustained-peak-v1,1.0.0,11000,25.000000,step,warmup,,1
sustained-peak-v1,1.0.0,12000,25.000000,step,warmup,,1
sustained-peak-v1,1.0.0,13000,25.000000,step,warmup,,1
sustained-peak-v1,1.0.0,14000,25.000000,step,warmup,,1
sustained-peak-v1,1.0.0,15000,25.000000,step,warmup,,1
sustained-peak-v1,1.0.0,16000,25.000000,step,warmup,,1
sustained-peak-v1,1.0.0,17000,25.000000,step,warmup,,1
sustained-peak-v1,1.0.0,18000,25.000000,step,warmup,,1
sustained-peak-v1,1.0.0,19000,25.000000,step,warmup,,1
sustained-peak-v1,1.0.0,20000,25.000000,step,warmup,,1
sustained-peak-v1,1.0.0,21000,25.000000,step,warmup,,1
sustained-peak-v1,1.0.0,22000,25.000000,step,warmup,,1
sustained-peak-v1,1.0.0,23000,25.000000,step,warmup,,1
sustained-peak-v1,1.0.0,24000,25.000000,step,warmup,,1
sustained-peak-v1,1.0.0,25000,25.000000,step,warmup,,1
sustained-peak-v1,1.0.0,26000,25.000000,step,warmup,,1
sustained-peak-v1,1.0.0,27000,25.000000,step,warmup,,1
sustained-peak-v1,1.0.0,28000,25.000000,step,warmup,,1
sustained-peak-v1,1.0.0,29000,25.000000,step,warmup,,1
sustained-peak-v1,1.0.0,30000,25.000000,step,warmup,,1
sustained-peak-v1,1.0.0,31000,25.000000,step,warmup,,1
sustained-peak-v1,1.0.0,32000,25.000000,step,warmup,,1
sustained-peak-v1,1.0.0,33000,25.000000,step,warmup,,1
sustained-peak-v1,1.0.0,34000,25.000000,step,warmup,,1
sustained-peak-v1,1.0.0,35000,25.000000,step,warmup,,1
sustained-peak-v1,1.0.0,36000,25.000000,step,warmup,,1
sustained-peak-v1,1.0.0,37000,25.000000,step,warmup,,1
sustained-peak-v1,1.0.0,38000,25.000000,step,warmup,,1
sustained-peak-v1,1.0.0,39000,25.000000,step,warmup,,1
sustained-peak-v1,1.0.0,40000,25.000000,step,warmup,,1
sustained-peak-v1,1.0.0,41000,25.000000,step,warmup,,1
sustained-peak-v1,1.0.0,42000,25.000000,step,warmup,,1
sustained-peak-v1,1.0.0,43000,25.000000,step,warmup,,1
sustained-peak-v1,1.0.0,44000,25.000000,step,warmup,,1
sustained-peak-v1,1.0.0,45000,25.000000,step,warmup,,1
sustained-peak-v1,1.0.0,46000,25.000000,step,warmup,,1
sustained-peak-v1,1.0.0,47000,25.000000,step,warmup,,1
sustained-peak-v1,1.0.0,48000,25.000000,step,warmup,,1
sustained-peak-v1,1.0.0,49000,25.000000,step,warmup,,1
sustained-peak-v1,1.0.0,50000,25.000000,step,warmup,,1
sustained-peak-v1,1.0.0,51000,25.000000,step,warmup,,1
sustained-peak-v1,1.0.0,52000,25.000000,step,warmup,,1
sustained-peak-v1,1.0.0,53000,25.000000,step,warmup,,1
sustained-peak-v1,1.0.0,54000,25.000000,step,warmup,,1
sustained-peak-v1,1.0.0,55000,25.000000,step,warmup,,1
sustained-peak-v1,1.0.0,56000,25.000000,step,warmup,,1
sustained-peak-v1,1.0.0,57000,25.000000,step,warmup,,1
sustained-peak-v1,1.0.0,58000,25.000000,step,warmup,,1
sustained-peak-v1,1.0.0,59000,25.000000,step,warmup,,1
sustained-peak-v1,1.0.0,60000,60.000000,step,treatment,transition_onset;peak_start;peak_time,4
sustained-peak-v1,1.0.0,61000,60.000000,step,treatment,,4
sustained-peak-v1,1.0.0,62000,60.000000,step,treatment,,4
sustained-peak-v1,1.0.0,63000,60.000000,step,treatment,,4
sustained-peak-v1,1.0.0,64000,60.000000,step,treatment,,4
sustained-peak-v1,1.0.0,65000,60.000000,step,treatment,,4
sustained-peak-v1,1.0.0,66000,60.000000,step,treatment,,4
sustained-peak-v1,1.0.0,67000,60.000000,step,treatment,,4
sustained-peak-v1,1.0.0,68000,60.000000,step,treatment,,4
sustained-peak-v1,1.0.0,69000,60.000000,step,treatment,,4
sustained-peak-v1,1.0.0,70000,60.000000,step,treatment,,4
sustained-peak-v1,1.0.0,71000,60.000000,step,treatment,,4
sustained-peak-v1,1.0.0,72000,60.000000,step,treatment,,4
sustained-peak-v1,1.0.0,73000,60.000000,step,treatment,,4
