metric_1,metric_2,n_conditions,spearman_rho,kendall_tau_b,top_one_agreement,pairwise_disagreement_rate,comparable_condition_pairs
mae_rps,rmse_rps,14,0.6064663746407031,0.5207191751642659,False,0.23809523809523808,84
mae_rps,transition_mae_rps,14,0.386525637596933,0.2771285483093309,False,0.35064935064935066,77
mae_rps,desired_replica_mae,14,0.7857142857142858,0.6864025490801687,False,0.14634146341463414,82
mae_rps,deficient_replica_seconds,14,0.6354780199046509,0.4895619147230909,False,0.2153846153846154,65
mae_rps,request_p99_latency_ms,14,0.2569290930776461,0.22875450543583875,False,0.38095238095238093,84
mae_rps,slo_violation_seconds,14,-0.09745586289152094,-0.183003604348671,True,0.5952380952380952,84
mae_rps,excess_replica_seconds,14,0.4205757616552172,0.3170914308949006,True,0.323943661971831,71
rmse_rps,transition_mae_rps,14,0.21549486598833653,0.27549355735383724,False,0.35064935064935066,77
rmse_rps,desired_replica_mae,14,0.7491643451443979,0.5882352941176471,False,0.1951219512195122,82
rmse_rps,deficient_replica_seconds,14,0.3884413225881908,0.2499134798382118,False,0.35384615384615387,65
rmse_rps,request_p99_latency_ms,14,0.42700055566049827,0.3752181007648276,False,0.3058823529411765,85
rmse_rps,slo_violation_seconds,14,-0.5730214710677153,-0.4434395736311599,False,0.7294117647058823,85
rmse_rps,excess_replica_seconds,14,0.23082810627401992,0.16391474770472403,False,0.4084507042253521,71
transition_mae_rps,desired_replica_mae,14,0.28877060715817376,0.17966971131771994,False,0.4025974025974026,77
transition_mae_rps,deficient_replica_seconds,14,0.3664392552041049,0.2544440024026506,False,0.3442622950819672,61
transition_mae_rps,request_p99_latency_ms,14,0.47719616011393834,0.3472910828409683,False,0.3170731707317073,82
transition_mae_rps,slo_violation_seconds,14,0.15386231330776518,0.09261095542425822,False,0.45121951219512196,82
transition_mae_rps,excess_replica_seconds,14,0.14075249406957727,0.08986182904354194,False,0.44776119402985076,67
desired_replica_mae,deficient_replica_seconds,14,0.7184695523548853,0.6445137111617041,False,0.13432835820895522,67
desired_replica_mae,request_p99_latency_ms,14,0.33223589622109406,0.2615156459876071,True,0.36470588235294116,85
desired_replica_mae,slo_violation_seconds,14,-0.17719247798458354,-0.17055368216583072,False,0.5882352941176471,85
desired_replica_mae,excess_replica_seconds,14,0.33160781207430584,0.2900030151698964,False,0.3424657534246575,73
deficient_replica_seconds,request_p99_latency_ms,14,0.36940153919926605,0.25424641809046067,False,0.35294117647058826,68
deficient_replica_seconds,slo_violation_seconds,14,0.16940707530157417,0.12712320904523033,False,0.4264705882352941,68
deficient_replica_seconds,excess_replica_seconds,14,-0.04909605551991694,-0.05638838744346009,False,0.5357142857142857,56
request_p99_latency_ms,slo_violation_seconds,14,-0.3186813186813187,-0.23076923076923078,False,0.6153846153846154,91
request_p99_latency_ms,excess_replica_seconds,14,-0.3279005901069426,-0.21934914659977164,False,0.6216216216216216,74
slo_violation_seconds,excess_replica_seconds,14,0.15821776725439893,0.0974885095998985,True,0.44594594594594594,74
